lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-season138	3059.0	1810.0	7906.0	3398.0	1664.0	10136.0	11865.0	13594.0	2632.0	11118.0	8442.0	6507.0	4752.0	12267.0	2118.0	3627.0	7199.0	3398.0	5673.0	1751.0	9525.0	3454.0	13435.0	10886.0	1969.0	14733.0	24065.0	14204.0	15542.0	11521.0	1260.0	2188.0	1194.0	7581.0	1653842.0	1590894.208128
sub-season139	2304.0	2513.0	6791.0	2700.0	3123.0	9492.0	11072.0	11919.0	2844.0	12000.0	7820.0	7646.0	5806.0	11371.0	2353.0	3565.0	4882.0	2312.0	3688.0	1690.0	9100.0	2871.0	13853.0	10298.0	2842.0	17337.0	28170.0	15416.0	13542.0	16926.0	1370.0	2800.0	1472.0	8323.0	1798038.0	1604331.700794
sub-season202	2459.0	2445.0	9634.0	2754.0	4471.0	11993.0	15102.0	15677.0	4094.0	14219.0	11987.0	7220.0	5569.0	13119.0	3145.0	4448.0	6693.0	3785.0	5445.0	2035.0	13796.0	4612.0	15941.0	13616.0	4568.0	20907.0	31439.0	16556.0	17104.0	16629.0	1319.0	3080.0	1772.0	11570.0	2092033.0	1916711.049653
sub-season204	1549.0	2219.0	7107.0	3626.0	2170.0	8390.0	11913.0	9368.0	2801.0	10730.0	9429.0	7450.0	5471.0	10530.0	1996.0	3929.0	4640.0	3006.0	4058.0	2263.0	10153.0	3736.0	14060.0	12158.0	3089.0	16479.0	25527.0	13622.0	14646.0	14193.0	988.0	2603.0	1752.0	9318.0	1699540.0	1570270.031681
sub-season206	2501.0	1491.0	4979.0	2493.0	1906.0	9924.0	12888.0	10256.0	2446.0	10707.0	6453.0	5320.0	4756.0	10633.0	2387.0	3543.0	4468.0	2410.0	3485.0	1618.0	9518.0	2872.0	13391.0	9145.0	1802.0	13945.0	23867.0	12580.0	11102.0	12511.0	1487.0	3583.0	1200.0	7746.0	1468948.0	1383391.526081
sub-season207	2943.0	1737.0	7220.0	2432.0	2324.0	11568.0	15734.0	11805.0	2987.0	13459.0	9131.0	6603.0	5657.0	14253.0	2140.0	3937.0	5663.0	2528.0	5005.0	2239.0	8405.0	3943.0	15437.0	11836.0	3199.0	19859.0	28776.0	15716.0	15501.0	13882.0	1028.0	2377.0	1673.0	8831.0	1922918.0	1644214.533657
sub-season208	2398.0	1834.0	6042.0	2939.0	2245.0	10565.0	9893.0	9922.0	3124.0	11175.0	8799.0	6949.0	5565.0	12336.0	2217.0	3913.0	5029.0	2855.0	5649.0	2196.0	9793.0	4301.0	14689.0	10014.0	2639.0	16232.0	28001.0	13257.0	12913.0	12249.0	1763.0	3479.0	1712.0	8356.0	1641376.0	1503990.502993
sub-season211	1662.0	1103.0	6722.0	3842.0	2053.0	9681.0	10826.0	8739.0	2433.0	13865.0	7128.0	6787.0	6091.0	10318.0	2287.0	4237.0	5130.0	2335.0	4337.0	1961.0	9413.0	2738.0	13966.0	9761.0	1515.0	14111.0	25521.0	15560.0	10721.0	9685.0	1463.0	3277.0	1615.0	6535.0	1553085.0	1286875.354328
sub-season212	2542.0	2443.0	7106.0	3221.0	1774.0	9270.0	11084.0	9874.0	2836.0	10470.0	8561.0	5961.0	4412.0	11056.0	1906.0	3719.0	3996.0	2755.0	3317.0	1911.0	9820.0	3195.0	14597.0	8995.0	3104.0	15152.0	23225.0	12605.0	12647.0	11710.0	1249.0	2741.0	1302.0	6742.0	1572130.0	1442746.017587
sub-season213	2805.0	2305.0	7803.0	4318.0	2269.0	12864.0	15910.0	16462.0	3441.0	18500.0	9509.0	9157.0	5529.0	12797.0	1978.0	4530.0	7585.0	2963.0	5300.0	3451.0	11402.0	5087.0	17131.0	13076.0	3953.0	21757.0	28825.0	16158.0	17063.0	14056.0	1521.0	2892.0	1807.0	8588.0	2045996.0	1832589.980648
sub-season214	2153.0	2509.0	6868.0	3100.0	2064.0	10171.0	12157.0	10336.0	1778.0	15541.0	9207.0	6419.0	6010.0	12799.0	2309.0	5334.0	5515.0	3368.0	4373.0	1948.0	10785.0	2979.0	14268.0	10923.0	3097.0	19056.0	29962.0	16860.0	14009.0	14647.0	1850.0	3147.0	1632.0	8525.0	1765975.0	1545556.131925
sub-season215	3541.0	1711.0	7776.0	3709.0	2382.0	11746.0	13586.0	12102.0	3973.0	16449.0	9512.0	8393.0	7656.0	17229.0	1745.0	3862.0	6238.0	3084.0	5692.0	2745.0	11524.0	4492.0	14855.0	9637.0	2232.0	22257.0	30755.0	14839.0	16421.0	15504.0	1624.0	2780.0	1664.0	8018.0	2007393.0	1890353.443068
sub-season216	2280.0	1998.0	6696.0	3134.0	2113.0	8429.0	11531.0	8061.0	2201.0	12363.0	7728.0	7886.0	4594.0	10088.0	2253.0	4640.0	4703.0	2435.0	4091.0	2134.0	8708.0	3501.0	14260.0	8299.0	2763.0	14728.0	24746.0	12701.0	12327.0	9502.0	1041.0	2358.0	1332.0	7011.0	1686333.0	1565935.634338
sub-season217	3222.0	1523.0	6585.0	3087.0	2279.0	8494.0	10530.0	11527.0	2186.0	10148.0	7042.0	6315.0	5568.0	10087.0	1676.0	3253.0	4557.0	2128.0	3528.0	2409.0	8333.0	3698.0	13793.0	8403.0	2178.0	13411.0	23726.0	10977.0	13335.0	10168.0	1376.0	2974.0	1258.0	7707.0	1583567.0	1508800.304795
