rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season131	1219.0	621.0	2129.0	1556.0	656.0	3023.0	6275.0	3344.0	886.0	5121.0	3057.0	3747.0	1981.0	3751.0	705.0	1757.0	1446.0	1041.0	1821.0	1569.0	4146.0	1192.0	5180.0	3891.0	493.0	7063.0	7262.0	5412.0	3833.0	3677.0	414.0	591.0	428.0	1946.0	91026.8	1924837.0	1769658.917433
sub-season132	787.0	538.0	1775.0	1557.0	404.0	2486.0	4489.0	2324.0	665.0	3991.0	2112.0	2771.0	1390.0	2714.0	472.0	1098.0	1235.0	581.0	1343.0	1380.0	3233.0	974.0	3888.0	3830.0	457.0	4913.0	5667.0	4353.0	3120.0	3163.0	315.0	418.0	314.0	1921.0	70674.6	1468198.0	1438778.843677
sub-season133	921.0	613.0	1849.0	1539.0	440.0	2765.0	4919.0	2621.0	826.0	4168.0	2387.0	2966.0	1869.0	3063.0	578.0	1535.0	1210.0	867.0	1571.0	1570.0	3645.0	1243.0	4401.0	3837.0	535.0	6011.0	7621.0	5088.0	3531.0	3205.0	389.0	508.0	413.0	2335.0	81032.9	1720390.0	1525111.068804
sub-season134	1104.0	814.0	2992.0	1514.0	814.0	3353.0	6160.0	3599.0	1127.0	5345.0	3204.0	3396.0	1927.0	4000.0	659.0	1578.0	1809.0	883.0	1769.0	1614.0	4545.0	1240.0	5440.0	4099.0	740.0	5810.0	7319.0	5662.0	4259.0	4230.0	286.0	530.0	438.0	2447.0	94695.9	1889041.0	1801835.406833
sub-season135	710.0	485.0	1835.0	1533.0	419.0	2941.0	4524.0	3739.0	848.0	4182.0	2678.0	2685.0	1759.0	2929.0	626.0	1360.0	1544.0	826.0	1611.0	1317.0	3452.0	830.0	4096.0	4409.0	320.0	4848.0	6363.0	5628.0	3026.0	3473.0	359.0	638.0	376.0	2261.0	78620.6	1740537.0	1616004.375605
sub-season136	799.0	596.0	1801.0	1393.0	345.0	2898.0	5203.0	2909.0	712.0	5247.0	1998.0	2700.0	1471.0	3138.0	641.0	1200.0	1778.0	829.0	1544.0	1026.0	3087.0	796.0	3884.0	3528.0	468.0	4873.0	5441.0	4831.0	3066.0	3145.0	358.0	494.0	325.0	1879.0	74396.7	1508104.0	1034049.470323
sub-season137	650.0	505.0	1756.0	1812.0	358.0	2652.0	4253.0	2858.0	730.0	4715.0	2303.0	3338.0	1760.0	3108.0	544.0	1533.0	1292.0	857.0	1405.0	1681.0	3241.0	971.0	4192.0	3862.0	704.0	4834.0	7306.0	4956.0	3446.0	3332.0	281.0	494.0	366.0	2217.0	78307.4	1685494.0	1491167.008964
sub-season138	875.0	421.0	2002.0	1309.0	306.0	2574.0	4416.0	2957.0	806.0	4952.0	2287.0	2913.0	1572.0	3345.0	587.0	1232.0	1388.0	835.0	1657.0	1199.0	3638.0	965.0	4230.0	3751.0	257.0	5081.0	6985.0	4280.0	3476.0	3372.0	442.0	513.0	351.0	1931.0	76883.4	1653842.0	1590894.208128
sub-season139	1071.0	754.0	2141.0	1299.0	530.0	2952.0	6170.0	3266.0	908.0	5250.0	2561.0	3078.0	1858.0	3665.0	623.0	1238.0	1301.0	964.0	1847.0	1333.0	3982.0	1299.0	4549.0	3824.0	807.0	6574.0	7729.0	5902.0	3617.0	3639.0	373.0	482.0	394.0	2643.0	88609.8	1798038.0	1604331.700794
sub-season202	1092.0	694.0	2989.0	1557.0	868.0	3719.0	6420.0	3791.0	906.0	4958.0	3008.0	3273.0	2348.0	3801.0	611.0	1912.0	1415.0	998.0	1596.0	1591.0	4913.0	1370.0	5968.0	5420.0	608.0	6698.0	9080.0	6451.0	4684.0	4648.0	409.0	529.0	496.0	2898.0	101707.0	2092033.0	1916711.049653
sub-season204	1075.0	623.0	2353.0	1789.0	391.0	3212.0	4929.0	2872.0	974.0	5387.0	2847.0	3108.0	2023.0	3614.0	620.0	1752.0	1593.0	926.0	1731.0	1540.0	3655.0	1315.0	4443.0	4529.0	538.0	6101.0	7319.0	5484.0	3846.0	3492.0	351.0	503.0	408.0	2530.0	87771.6	1699540.0	1570270.031681
sub-season206	972.0	498.0	1374.0	1286.0	422.0	2817.0	4540.0	2696.0	742.0	4583.0	2028.0	2439.0	1407.0	3243.0	530.0	1232.0	1254.0	655.0	1475.0	1053.0	3406.0	884.0	4509.0	3171.0	409.0	3727.0	6245.0	4541.0	3092.0	4034.0	451.0	532.0	296.0	2141.0	72679.7	1468948.0	1383391.526081
sub-season207	986.0	784.0	1661.0	1437.0	475.0	3121.0	5251.0	3372.0	716.0	5115.0	2659.0	2850.0	1858.0	3854.0	515.0	1967.0	1394.0	944.0	1755.0	1195.0	4392.0	1180.0	4245.0	4329.0	541.0	6987.0	7591.0	6023.0	4449.0	4314.0	482.0	589.0	503.0	2533.0	90067.3	1922918.0	1644214.533657
sub-season208	887.0	520.0	1876.0	1407.0	428.0	2633.0	4723.0	2818.0	736.0	4281.0	2162.0	2828.0	1665.0	2940.0	459.0	1503.0	1261.0	1075.0	1661.0	1608.0	3622.0	1131.0	4273.0	3575.0	325.0	5289.0	7306.0	4775.0	3287.0	3188.0	449.0	625.0	350.0	2219.0	77880.6	1641376.0	1503990.502993
sub-season211	729.0	619.0	1804.0	1711.0	432.0	2999.0	4049.0	2559.0	722.0	4913.0	2153.0	2809.0	1828.0	2766.0	542.0	1700.0	1267.0	821.0	1691.0	1515.0	3284.0	1008.0	4375.0	3768.0	552.0	5101.0	6492.0	5284.0	3252.0	3136.0	510.0	564.0	363.0	2164.0	77476.0	1553085.0	1286875.354328
sub-season212	982.0	506.0	1854.0	1354.0	433.0	2490.0	5263.0	2898.0	904.0	4232.0	2274.0	2298.0	2142.0	3131.0	545.0	1304.0	1207.0	906.0	1500.0	1244.0	3491.0	1062.0	4312.0	3627.0	373.0	5141.0	7163.0	4856.0	3069.0	2999.0	503.0	573.0	322.0	2114.0	77065.1	1572130.0	1442746.017587
sub-season213	1204.0	965.0	3043.0	2151.0	432.0	3367.0	5792.0	3788.0	1165.0	6781.0	2891.0	3747.0	1937.0	3940.0	598.0	1639.0	2029.0	823.0	1614.0	1888.0	4217.0	1483.0	5483.0	4942.0	638.0	6612.0	7611.0	6124.0	3771.0	4552.0	366.0	574.0	399.0	2441.0	98989.8	2045996.0	1832589.980648
sub-season214	876.0	726.0	1884.0	1355.0	329.0	2787.0	4808.0	3238.0	736.0	4391.0	2261.0	2737.0	1774.0	3500.0	569.0	1541.0	1243.0	824.0	1363.0	1146.0	3647.0	1152.0	4156.0	3777.0	522.0	6174.0	7438.0	5602.0	3786.0	3557.0	396.0	482.0	356.0	2673.0	81794.7	1765975.0	1545556.131925
sub-season215	1222.0	973.0	2612.0	1794.0	563.0	3393.0	6128.0	4162.0	908.0	6364.0	2716.0	2922.0	2090.0	4810.0	650.0	1569.0	1281.0	1137.0	1942.0	1481.0	4471.0	1591.0	4973.0	4751.0	590.0	7443.0	7600.0	5684.0	3940.0	3857.0	398.0	596.0	334.0	2638.0	97372.8	2007393.0	1890353.443068
sub-season216	769.0	541.0	1755.0	1322.0	380.0	2583.0	4603.0	2364.0	800.0	4146.0	2009.0	2775.0	1776.0	3012.0	676.0	1334.0	1105.0	757.0	1303.0	1197.0	3026.0	847.0	4049.0	3229.0	402.0	5015.0	6677.0	4823.0	3146.0	2474.0	361.0	476.0	300.0	1880.0	71914.7	1686333.0	1565935.634338
sub-season217	838.0	753.0	2001.0	1361.0	335.0	2518.0	4202.0	2713.0	797.0	4346.0	2049.0	2604.0	1721.0	2933.0	544.0	1249.0	1460.0	694.0	1330.0	1387.0	3487.0	1135.0	4169.0	3419.0	601.0	5162.0	6413.0	4371.0	3363.0	3251.0	343.0	464.0	346.0	2100.0	74453.1	1583567.0	1508800.304795
