lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-season101	1987.0	1427.0	6577.0	3289.0	1903.0	8581.0	9084.0	10627.0	2366.0	12463.0	7564.0	7166.0	4513.0	10975.0	1808.0	4313.0	4862.0	2476.0	4835.0	1959.0	10843.0	3520.0	12763.0	8767.0	2308.0	16944.0	24742.0	12949.0	11667.0	11746.0	944.0	2760.0	1356.0	8090.0	1582874.0	1388183.039176
sub-season102	2787.0	2560.0	8402.0	4050.0	1938.0	11210.0	14558.0	12434.0	3081.0	14809.0	9379.0	8311.0	5905.0	13510.0	2072.0	4578.0	7647.0	3624.0	6029.0	2613.0	10593.0	4171.0	17220.0	12609.0	2857.0	20512.0	27611.0	17786.0	15330.0	13134.0	1267.0	2574.0	1797.0	8941.0	2023725.0	1855763.461063
sub-season103	2295.0	1503.0	6917.0	2241.0	1599.0	7801.0	11633.0	8831.0	2852.0	10415.0	7531.0	6706.0	4885.0	11009.0	2016.0	3767.0	5865.0	2573.0	4093.0	1590.0	9009.0	2992.0	16069.0	8927.0	2628.0	17017.0	25367.0	14087.0	11968.0	13431.0	1397.0	3055.0	1207.0	6783.0	1596199.0	1453159.764317
sub-season104	2551.0	1937.0	6107.0	3866.0	1942.0	11124.0	14082.0	11483.0	2708.0	14015.0	8839.0	7996.0	5441.0	12728.0	2453.0	3723.0	5787.0	3411.0	3946.0	2026.0	9529.0	2535.0	14327.0	11472.0	2396.0	19123.0	26332.0	17245.0	15233.0	11146.0	1260.0	2662.0	1548.0	7380.0	1745697.0	1579262.838206
sub-season105	2869.0	1582.0	4991.0	2691.0	1865.0	10197.0	12374.0	12232.0	2493.0	10890.0	7864.0	7124.0	4945.0	10627.0	1816.0	3993.0	4689.0	2937.0	4533.0	1965.0	8902.0	2507.0	14269.0	11416.0	1819.0	16668.0	28298.0	17239.0	14328.0	16686.0	1714.0	2831.0	1693.0	7457.0	1660365.0	1570462.886453
sub-season106	2335.0	2244.0	7698.0	2544.0	1960.0	11147.0	12594.0	9742.0	2445.0	11553.0	8622.0	7045.0	5069.0	10847.0	2087.0	4364.0	5375.0	2587.0	4310.0	1813.0	10752.0	4071.0	13579.0	9433.0	2709.0	16859.0	23283.0	14000.0	12352.0	9947.0	1385.0	2519.0	1335.0	7993.0	1622499.0	1484703.431897
sub-season107	3310.0	1805.0	5628.0	3317.0	2183.0	9373.0	14612.0	10808.0	2657.0	11587.0	9156.0	7354.0	5529.0	11312.0	2088.0	4028.0	5267.0	2812.0	3984.0	2410.0	10311.0	3391.0	13505.0	9961.0	2804.0	18047.0	29273.0	11384.0	13766.0	12454.0	1682.0	3254.0	1335.0	8084.0	1766856.0	1546563.481325
sub-season108	1961.0	1385.0	8563.0	3127.0	1813.0	8146.0	12669.0	10650.0	2775.0	12010.0	8467.0	7682.0	5618.0	11986.0	2348.0	3820.0	4516.0	2244.0	4288.0	2342.0	8926.0	2990.0	13716.0	8504.0	2391.0	17240.0	26529.0	12659.0	11136.0	8515.0	1310.0	2937.0	1487.0	7678.0	1599428.0	1442871.363481
sub-season109	3046.0	2458.0	9609.0	4027.0	1912.0	11452.0	18040.0	15818.0	3690.0	18709.0	10223.0	8947.0	5866.0	17193.0	2137.0	3740.0	7217.0	3790.0	5009.0	2654.0	12937.0	4301.0	18947.0	12906.0	3143.0	20542.0	31094.0	15146.0	16624.0	15299.0	1560.0	2222.0	1872.0	9834.0	2124171.0	1962371.698302
sub-season110	3374.0	1880.0	8475.0	3115.0	1875.0	10347.0	13098.0	11695.0	3318.0	12191.0	7524.0	7295.0	5728.0	12055.0	2144.0	4255.0	5269.0	3043.0	3273.0	2743.0	10028.0	3597.0	14299.0	14163.0	3618.0	18625.0	28745.0	17314.0	13897.0	13088.0	1239.0	3178.0	1481.0	7604.0	1736282.0	1528409.456225
sub-season111	2893.0	1846.0	7134.0	3829.0	2667.0	10914.0	12518.0	11255.0	2905.0	12742.0	8604.0	7036.0	4068.0	13671.0	2905.0	4283.0	5522.0	2567.0	3868.0	3229.0	12696.0	3526.0	17351.0	11145.0	2847.0	17767.0	28568.0	14526.0	13281.0	14095.0	1133.0	2967.0	1556.0	9161.0	1899333.0	1847640.871226
sub-season112	2304.0	1579.0	7934.0	3760.0	2492.0	11173.0	12848.0	14736.0	3077.0	12951.0	8665.0	7698.0	5207.0	12657.0	2642.0	4181.0	6366.0	2696.0	3381.0	2396.0	13022.0	3367.0	19456.0	11891.0	3320.0	18658.0	27512.0	16427.0	15486.0	12158.0	1272.0	3588.0	1559.0	7845.0	1982990.0	1847461.237093
sub-season114	2776.0	1348.0	5701.0	2542.0	1596.0	10544.0	12942.0	10074.0	2593.0	11720.0	6806.0	5776.0	6051.0	12513.0	1790.0	3901.0	4998.0	2460.0	3259.0	1351.0	9502.0	3475.0	15132.0	10193.0	1021.0	14446.0	29019.0	13853.0	13166.0	11857.0	1711.0	3610.0	1367.0	7320.0	1586104.0	1454285.610994
sub-season116	2786.0	1698.0	8066.0	3480.0	1847.0	11762.0	11843.0	10553.0	2834.0	12186.0	8265.0	7010.0	5999.0	14212.0	1797.0	3553.0	5725.0	3048.0	4749.0	2664.0	10071.0	3934.0	15034.0	10420.0	2957.0	19281.0	29623.0	14090.0	14563.0	14382.0	1162.0	2162.0	1505.0	8374.0	1864184.0	1661959.775933
sub-season117	2611.0	2172.0	6347.0	3152.0	3279.0	9391.0	12440.0	18509.0	2347.0	14950.0	8889.0	7324.0	5765.0	11400.0	2773.0	4726.0	4567.0	2723.0	4426.0	1934.0	8786.0	4850.0	16945.0	11660.0	4357.0	20722.0	29178.0	15117.0	14419.0	11537.0	1028.0	3187.0	1352.0	7905.0	2004602.0	1877210.629987
