rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	806.0	610.0	2199.0	1483.0	346.0	2843.0	4280.0	3052.0	718.0	4903.0	2402.0	2867.0	1735.0	3314.0	610.0	1524.0	1273.0	934.0	1605.0	1348.0	4420.0	1093.0	4336.0	3976.0	373.0	6308.0	6410.0	4534.0	3406.0	3737.0	401.0	529.0	328.0	2055.0	80743.1	1582874.0	1388183.039176
sub-season102	901.0	719.0	2494.0	1691.0	405.0	3225.0	6150.0	3198.0	1015.0	5233.0	2966.0	3157.0	1899.0	3854.0	667.0	1757.0	1803.0	1077.0	1957.0	1667.0	3722.0	1320.0	4988.0	4552.0	545.0	6985.0	7909.0	6270.0	4325.0	4229.0	335.0	467.0	484.0	2354.0	94310.8	2023725.0	1855763.461063
sub-season103	805.0	745.0	2474.0	1216.0	348.0	2608.0	5033.0	2627.0	866.0	4310.0	2379.0	2311.0	1698.0	2895.0	533.0	1198.0	1404.0	729.0	1396.0	978.0	3391.0	1011.0	5187.0	3328.0	453.0	4982.0	7072.0	5234.0	3123.0	3052.0	320.0	448.0	309.0	1883.0	76334.0	1596199.0	1453159.764317
sub-season104	970.0	701.0	1889.0	1750.0	407.0	2741.0	5356.0	2964.0	852.0	5449.0	2524.0	3306.0	1896.0	3461.0	599.0	1421.0	1243.0	948.0	1374.0	1235.0	3505.0	1004.0	4363.0	3797.0	575.0	5393.0	6808.0	4893.0	3564.0	3600.0	383.0	519.0	342.0	2133.0	81952.7	1745697.0	1579262.838206
sub-season105	1090.0	643.0	1699.0	1396.0	373.0	2899.0	5307.0	2905.0	616.0	4340.0	1954.0	3100.0	1516.0	3426.0	644.0	1647.0	1455.0	711.0	1263.0	1431.0	3737.0	931.0	4875.0	3909.0	528.0	5361.0	6978.0	5909.0	4343.0	4699.0	364.0	475.0	435.0	2570.0	83523.0	1660365.0	1570462.886453
sub-season106	824.0	743.0	2044.0	1432.0	422.0	2920.0	5289.0	3148.0	903.0	4156.0	2561.0	2854.0	1879.0	3283.0	533.0	1456.0	1437.0	813.0	1644.0	1215.0	3829.0	964.0	4420.0	3655.0	743.0	5712.0	6499.0	5298.0	3353.0	3483.0	329.0	589.0	360.0	2023.0	80805.4	1622499.0	1484703.431897
sub-season107	938.0	693.0	2122.0	1394.0	517.0	2817.0	5488.0	3148.0	853.0	4574.0	2336.0	2958.0	1854.0	3150.0	548.0	1566.0	1432.0	922.0	1567.0	1251.0	4135.0	1176.0	4624.0	3884.0	669.0	5805.0	7774.0	4719.0	3574.0	3912.0	354.0	465.0	373.0	2619.0	84195.6	1766856.0	1546563.481325
sub-season108	887.0	639.0	2501.0	1430.0	351.0	2501.0	5630.0	3158.0	963.0	4866.0	2462.0	3101.0	1643.0	3446.0	509.0	1384.0	1186.0	765.0	1370.0	1505.0	3493.0	1061.0	4451.0	3537.0	680.0	5805.0	6890.0	5158.0	3376.0	2629.0	387.0	526.0	336.0	2127.0	80746.6	1599428.0	1442871.363481
sub-season109	1052.0	733.0	2888.0	1898.0	278.0	3082.0	7566.0	4059.0	1071.0	5751.0	2651.0	3401.0	2253.0	5061.0	832.0	1502.0	1858.0	1041.0	2126.0	1595.0	4287.0	1297.0	5203.0	4638.0	534.0	6829.0	7072.0	5230.0	4060.0	3703.0	321.0	564.0	327.0	2782.0	97525.7	2124171.0	1962371.698302
sub-season110	923.0	770.0	2404.0	1497.0	362.0	2864.0	5610.0	2991.0	896.0	5207.0	2291.0	3119.0	1658.0	3335.0	594.0	1461.0	1333.0	732.0	1413.0	1684.0	3605.0	1174.0	4712.0	4395.0	466.0	5694.0	7450.0	5642.0	3665.0	3512.0	396.0	459.0	365.0	2078.0	84628.3	1736282.0	1528409.456225
