rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	659.0	2283.0	1730.0	302.0	2573.0	4283.0	3374.0	726.0	4954.0	2864.0	2806.0	1254.0	3899.0	645.0	1598.0	1404.0	692.0	1683.0	1329.0	4887.0	1118.0	4265.0	4055.0	474.0	4439.0	8574.0	3715.0	4518.0	3443.0	326.0	1891.0	80764.5	1582874.0	1388183.039176
sub-season102	838.0	2673.0	2003.0	351.0	2991.0	6197.0	3482.0	994.0	5285.0	3359.0	3127.0	1369.0	4576.0	706.0	1808.0	2026.0	895.0	1853.0	1632.0	4125.0	1362.0	4815.0	4729.0	740.0	4945.0	10262.0	5250.0	5388.0	4007.0	468.0	2162.0	94417.6	2023725.0	1855763.461063
sub-season103	837.0	2565.0	1423.0	316.0	2366.0	4985.0	2878.0	862.0	4318.0	2836.0	2284.0	1196.0	3563.0	559.0	1266.0	1600.0	620.0	1344.0	970.0	3781.0	1042.0	4833.0	3502.0	609.0	3518.0	8960.0	4438.0	4053.0	2933.0	295.0	1699.0	76449.0	1596199.0	1453159.764317
sub-season104	845.0	2042.0	2122.0	357.0	2423.0	5366.0	3276.0	839.0	5587.0	2811.0	3254.0	1517.0	4188.0	652.0	1510.0	1384.0	788.0	1397.0	1210.0	3891.0	1046.0	4112.0	3845.0	739.0	3814.0	8683.0	3990.0	4792.0	3326.0	336.0	1837.0	81979.1	1745697.0	1579262.838206
sub-season105	788.0	1768.0	1664.0	336.0	2624.0	5381.0	3223.0	607.0	4328.0	2365.0	3067.0	1225.0	4153.0	706.0	1743.0	1670.0	659.0	1200.0	1391.0	4181.0	985.0	4731.0	4025.0	670.0	3716.0	8806.0	5029.0	5594.0	4431.0	432.0	2055.0	83550.7	1660365.0	1570462.886453
sub-season106	814.0	2205.0	1722.0	401.0	2571.0	5193.0	3528.0	888.0	4251.0	2871.0	2748.0	1398.0	3957.0	590.0	1550.0	1656.0	620.0	1631.0	1211.0	4273.0	1073.0	4189.0	3675.0	947.0	4281.0	8099.0	4398.0	4516.0	3376.0	347.0	1847.0	80824.6	1622499.0	1484703.431897
sub-season107	766.0	2239.0	1674.0	464.0	2539.0	5620.0	3432.0	848.0	4574.0	2875.0	2895.0	1450.0	3882.0	607.0	1695.0	1671.0	807.0	1483.0	1232.0	4579.0	1253.0	4422.0	3961.0	898.0	3991.0	9717.0	3888.0	4700.0	3507.0	373.0	2177.0	84220.2	1766856.0	1546563.481325
sub-season108	723.0	2576.0	1734.0	301.0	2221.0	5492.0	3449.0	973.0	4871.0	2784.0	3032.0	1348.0	4209.0	577.0	1447.0	1312.0	580.0	1374.0	1454.0	3856.0	1090.0	4252.0	3649.0	920.0	3939.0	8944.0	4361.0	4515.0	2471.0	331.0	1988.0	80774.5	1599428.0	1442871.363481
sub-season109	798.0	2995.0	2382.0	275.0	2819.0	7433.0	4255.0	1085.0	5743.0	3212.0	3349.0	1532.0	6058.0	865.0	1547.0	2191.0	806.0	2096.0	1568.0	4716.0	1332.0	5033.0	4753.0	815.0	5165.0	9138.0	4130.0	5363.0	3516.0	326.0	2274.0	97568.6	2124171.0	1962371.698302
sub-season110	834.0	2484.0	1784.0	331.0	2625.0	5534.0	3287.0	905.0	5239.0	2424.0	3060.0	1248.0	3973.0	613.0	1515.0	1480.0	567.0	1445.0	1683.0	4017.0	1306.0	4528.0	4519.0	652.0	3993.0	9491.0	4759.0	4782.0	3350.0	355.0	1863.0	84648.8	1736282.0	1528409.456225
sub-season111	940.0	2327.0	1903.0	533.0	2967.0	5254.0	4088.0	991.0	4524.0	2983.0	3062.0	1567.0	4395.0	608.0	1889.0	1562.0	740.0	1520.0	1634.0	4877.0	1457.0	5240.0	4760.0	770.0	4087.0	9388.0	4995.0	4991.0	3735.0	337.0	2168.0	90290.5	1899333.0	1847640.871226
sub-season112	1061.0	3231.0	1983.0	516.0	2548.0	6706.0	4485.0	1001.0	5267.0	3256.0	3585.0	1500.0	4768.0	718.0	1641.0	1770.0	942.0	1826.0	1676.0	5363.0	1537.0	5991.0	4856.0	923.0	4922.0	9672.0	5520.0	5632.0	3950.0	418.0	2167.0	99431.7	1982990.0	1847461.237093
sub-season114	564.0	1729.0	1848.0	266.0	2369.0	5317.0	2720.0	642.0	4892.0	2386.0	2248.0	1297.0	3758.0	554.0	1583.0	1502.0	622.0	1061.0	930.0	3888.0	992.0	4471.0	3796.0	522.0	2977.0	8974.0	4102.0	4187.0	3092.0	331.0	1654.0	75276.4	1586104.0	1454285.610994
sub-season116	566.0	2283.0	2201.0	380.0	2703.0	6265.0	3063.0	1031.0	4886.0	2713.0	3521.0	1555.0	4590.0	650.0	1512.0	1975.0	793.0	1887.0	1942.0	4715.0	1332.0	4504.0	4125.0	592.0	4428.0	10347.0	4228.0	4843.0	3232.0	343.0	1996.0	89198.7	1864184.0	1661959.775933
sub-season117	1020.0	2399.0	1548.0	539.0	2619.0	5219.0	4216.0	916.0	5382.0	3210.0	2726.0	1352.0	4078.0	704.0	2110.0	1582.0	841.0	1519.0	1154.0	4916.0	1589.0	5538.0	4231.0	942.0	4686.0	10254.0	4654.0	5693.0	4070.0	371.0	2120.0	92196.7	2004602.0	1877210.629987
sub-season119	701.0	2216.0	1806.0	428.0	2532.0	5313.0	3727.0	745.0	4688.0	2897.0	2553.0	1540.0	4308.0	636.0	1608.0	1336.0	609.0	1226.0	1353.0	4001.0	1131.0	4010.0	3657.0	713.0	3817.0	8313.0	4034.0	4871.0	3516.0	300.0	1945.0	80530.6	1661744.0	1543731.273115
