rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-season101	2255.0	6591.0	3702.0	1559.0	7992.0	11251.0	11795.0	2057.0	12304.0	8988.0	6429.0	3938.0	12896.0	2250.0	4304.0	4251.0	2245.0	4573.0	1962.0	11741.0	3116.0	12575.0	11162.0	1696.0	11988.0	27305.0	9159.0	14934.0	10241.0	1009.0	6424.0	1582874.0	1388183.039176
sub-season102	2478.0	8394.0	5062.0	1764.0	10179.0	18535.0	11897.0	2702.0	14623.0	11267.0	8075.0	4313.0	16906.0	2233.0	5429.0	6376.0	3105.0	5776.0	3195.0	10486.0	4407.0	15958.0	14192.0	2372.0	14334.0	36225.0	14483.0	18295.0	12113.0	1506.0	7461.0	2023725.0	1855763.461063
sub-season103	2712.0	8166.0	3043.0	1626.0	7802.0	15554.0	10384.0	2668.0	11072.0	9862.0	5823.0	3808.0	12374.0	1907.0	3802.0	5435.0	2481.0	4292.0	1632.0	9009.0	3146.0	14976.0	9979.0	2153.0	10520.0	29732.0	11847.0	14233.0	8989.0	906.0	5846.0	1596199.0	1453159.764317
sub-season104	2671.0	6772.0	5420.0	1852.0	8454.0	17485.0	11524.0	2190.0	15762.0	10050.0	8624.0	4528.0	16319.0	2428.0	4823.0	5242.0	3111.0	3767.0	1850.0	9880.0	3250.0	13451.0	10968.0	2609.0	11893.0	30521.0	12038.0	18875.0	10919.0	1182.0	6274.0	1745697.0	1579262.838206
sub-season105	2847.0	5478.0	3625.0	1697.0	8571.0	16750.0	11625.0	1863.0	11673.0	7799.0	8129.0	3513.0	14369.0	2330.0	5049.0	5702.0	2495.0	3296.0	2500.0	10468.0	2978.0	14281.0	12182.0	2942.0	11595.0	31347.0	13201.0	20425.0	13925.0	1404.0	6871.0	1660365.0	1570462.886453
sub-season106	2856.0	6612.0	3834.0	2046.0	8577.0	15342.0	11784.0	2911.0	10620.0	9453.0	6966.0	4475.0	13546.0	2127.0	4767.0	5489.0	2061.0	5055.0	1900.0	10647.0	3082.0	12753.0	10574.0	3570.0	12711.0	26618.0	11711.0	15798.0	10340.0	1134.0	6369.0	1622499.0	1484703.431897
sub-season107	2545.0	7056.0	3869.0	1876.0	9082.0	16940.0	12544.0	2539.0	11920.0	9253.0	7239.0	5228.0	13708.0	2230.0	4737.0	5809.0	3019.0	4517.0	1985.0	11319.0	3874.0	13278.0	11052.0	3656.0	12187.0	32671.0	10134.0	17369.0	10695.0	1282.0	7351.0	1766856.0	1546563.481325
sub-season108	2628.0	7598.0	3471.0	1408.0	7611.0	16436.0	11350.0	2663.0	12016.0	9384.0	6919.0	4228.0	14627.0	1920.0	4137.0	4215.0	1967.0	4443.0	2672.0	9263.0	3293.0	13150.0	9903.0	3771.0	12297.0	29482.0	10646.0	16028.0	7954.0	1060.0	6785.0	1599428.0	1442871.363481
sub-season109	2623.0	10498.0	5741.0	1418.0	10061.0	25458.0	16511.0	3756.0	15396.0	11427.0	9071.0	4963.0	22726.0	2675.0	4829.0	7737.0	2934.0	7017.0	2836.0	13614.0	4424.0	16657.0	14513.0	3023.0	17712.0	34362.0	11821.0	19845.0	11826.0	1191.0	8443.0	2124171.0	1962371.698302
sub-season110	2916.0	8271.0	4076.0	1817.0	8914.0	16884.0	12311.0	3231.0	14980.0	8688.0	7378.0	3984.0	14913.0	2115.0	4642.0	5278.0	2080.0	4495.0	2796.0	10790.0	4127.0	14825.0	13446.0	2251.0	13118.0	33784.0	13237.0	17627.0	11039.0	1152.0	6831.0	1736282.0	1528409.456225
sub-season111	2852.0	7068.0	4176.0	2313.0	9412.0	16597.0	14313.0	2725.0	11929.0	9616.0	7446.0	4561.0	15343.0	2186.0	5240.0	4534.0	2488.0	4783.0	3046.0	12308.0	4119.0	16448.0	12712.0	2486.0	11980.0	30416.0	13150.0	16961.0	11313.0	1037.0	7226.0	1899333.0	1847640.871226
sub-season112	3150.0	8836.0	4344.0	2394.0	7784.0	18586.0	15420.0	2681.0	13515.0	9120.0	8079.0	4267.0	15680.0	2513.0	4303.0	4879.0	2904.0	4430.0	3061.0	12615.0	4438.0	17456.0	12435.0	3005.0	13176.0	29041.0	13310.0	18084.0	10649.0	1265.0	6745.0	1982990.0	1847461.237093
sub-season114	2218.0	5926.0	3885.0	1677.0	8709.0	19092.0	10213.0	1957.0	13688.0	9154.0	5836.0	5078.0	15143.0	1894.0	4790.0	5330.0	2548.0	3003.0	1445.0	10037.0	3458.0	14415.0	11050.0	1830.0	9955.0	31882.0	11534.0	16125.0	10477.0	1157.0	6487.0	1586104.0	1454285.610994
sub-season116	1516.0	7221.0	4683.0	1783.0	9231.0	19348.0	9895.0	3163.0	13016.0	8708.0	8664.0	4747.0	16709.0	1921.0	4391.0	6046.0	2473.0	6180.0	3214.0	11616.0	4035.0	13748.0	11911.0	2066.0	13551.0	35638.0	11285.0	17150.0	9510.0	1055.0	7610.0	1864184.0	1661959.775933
sub-season117	3347.0	6714.0	3570.0	2739.0	8213.0	15121.0	16369.0	2490.0	13723.0	10302.0	7066.0	4147.0	13315.0	2841.0	5996.0	4746.0	2814.0	4484.0	2090.0	11815.0	4749.0	17059.0	11303.0	3379.0	13443.0	32795.0	12317.0	21054.0	12070.0	1276.0	7258.0	2004602.0	1877210.629987
sub-season119	2787.0	6721.0	4417.0	2415.0	8519.0	16215.0	13286.0	2203.0	14072.0	9696.0	6463.0	4855.0	16268.0	2453.0	4762.0	3967.0	2237.0	3678.0	2665.0	10386.0	3784.0	12983.0	10676.0	2811.0	11358.0	28899.0	11409.0	18917.0	11650.0	1009.0	6699.0	1661744.0	1543731.273115
sub-season120	2588.0	7891.0	4944.0	1954.0	9168.0	15718.0	12711.0	2420.0	14584.0	10712.0	7141.0	4082.0	12964.0	2560.0	5281.0	5086.0	2254.0	4752.0	2089.0	12048.0	3683.0	17451.0	11541.0	2781.0	14615.0	38419.0	13564.0	17090.0	10611.0	1554.0	6701.0	1878649.0	1671209.727034
sub-season121	2612.0	6874.0	6264.0	2783.0	8759.0	22201.0	12715.0	4144.0	22525.0	10340.0	9451.0	4883.0	16177.0	2590.0	4966.0	3850.0	3091.0	3660.0	3517.0	14129.0	3711.0	19242.0	13969.0	2997.0	14390.0	34576.0	14063.0	17678.0	10966.0	1361.0	7622.0	2006833.0	1902020.490605
sub-season122	3588.0	6759.0	4851.0	2177.0	11151.0	16804.0	12074.0	2829.0	14109.0	11562.0	7529.0	5467.0	14920.0	2970.0	4928.0	6549.0	2850.0	4088.0	2641.0	12470.0	4605.0	15422.0	14254.0	3722.0	15150.0	34323.0	14095.0	18841.0	11451.0	1462.0	7429.0	1872440.0	1794427.85881
sub-season123	2004.0	7519.0	5752.0	1721.0	11246.0	15598.0	12670.0	2953.0	14319.0	10883.0	9484.0	5081.0	18661.0	2086.0	4979.0	6949.0	3273.0	5586.0	3028.0	11536.0	4043.0	14691.0	13974.0	2458.0	18121.0	35238.0	14229.0	21625.0	12371.0	1471.0	8278.0	2044539.0	1853281.972512
sub-season124	2200.0	5280.0	4405.0	2203.0	11040.0	20139.0	13382.0	2270.0	17680.0	10240.0	7807.0	4271.0	16949.0	2497.0	5118.0	4384.0	3488.0	4641.0	2257.0	11343.0	3206.0	13033.0	11791.0	2545.0	14289.0	29707.0	13710.0	19254.0	10619.0	1269.0	7280.0	1795252.0	1681543.710064
sub-season125	2380.0	7262.0	4771.0	1762.0	10081.0	17778.0	12591.0	2410.0	15918.0	9240.0	8393.0	5972.0	16201.0	2115.0	5369.0	5909.0	2836.0	4653.0	2406.0	12484.0	3799.0	14289.0	13878.0	1773.0	14889.0	32957.0	12680.0	20245.0	10759.0	1360.0	7124.0	1831546.0	1612456.424967
sub-season126	2211.0	7018.0	4430.0	1397.0	7981.0	16328.0	14040.0	2695.0	11471.0	10062.0	9540.0	5257.0	14834.0	2229.0	5420.0	3759.0	3152.0	3380.0	2575.0	12708.0	3342.0	15530.0	12402.0	2394.0	13719.0	29945.0	10957.0	16143.0	10189.0	991.0	6673.0	1749591.0	1659864.879575
sub-season127	2987.0	7582.0	5243.0	1873.0	10417.0	19208.0	14377.0	2880.0	14788.0	10585.0	9101.0	5455.0	18347.0	2155.0	4653.0	5038.0	3095.0	5309.0	2488.0	12424.0	4358.0	16129.0	11590.0	3063.0	14783.0	35109.0	12917.0	18539.0	9295.0	1392.0	7227.0	1919874.0	1781384.489153
sub-season128	1982.0	5803.0	5372.0	2162.0	8647.0	15638.0	13497.0	2882.0	13075.0	9195.0	8390.0	4829.0	14322.0	2350.0	4624.0	5206.0	2579.0	4923.0	3077.0	13160.0	2972.0	14461.0	11929.0	2627.0	10530.0	31645.0	10640.0	14775.0	10277.0	1401.0	6545.0	1704446.0	1646061.979673
