lh.BA_exvivo.meancurv	lh_BA1_exvivo_meancurv	lh_BA2_exvivo_meancurv	lh_BA3a_exvivo_meancurv	lh_BA3b_exvivo_meancurv	lh_BA4a_exvivo_meancurv	lh_BA4p_exvivo_meancurv	lh_BA6_exvivo_meancurv	lh_BA44_exvivo_meancurv	lh_BA45_exvivo_meancurv	lh_V1_exvivo_meancurv	lh_V2_exvivo_meancurv	lh_MT_exvivo_meancurv	lh_perirhinal_exvivo_meancurv	lh_entorhinal_exvivo_meancurv	BrainSegVolNotVent	eTIV
sub-season101	0.099	0.086	0.095	0.09	0.081	0.071	0.095	0.079	0.098	0.107	0.119	0.115	0.075	0.089	1592925.0	1412166.900513
sub-season102	0.099	0.081	0.087	0.065	0.069	0.057	0.085	0.093	0.095	0.095	0.115	0.093	0.08	0.114	2019190.0	1836734.352672
sub-season103	0.104	0.082	0.1	0.087	0.065	0.071	0.091	0.099	0.103	0.106	0.116	0.103	0.073	0.11	1604558.0	1443544.19585
sub-season104	0.096	0.083	0.099	0.094	0.071	0.072	0.086	0.094	0.096	0.106	0.118	0.095	0.105	0.11	1745081.0	1582548.662703
sub-season105	0.103	0.092	0.095	0.089	0.084	0.082	0.099	0.109	0.102	0.099	0.118	0.096	0.086	0.104	1643021.0	1563538.009266
sub-season106	0.099	0.092	0.102	0.09	0.072	0.073	0.093	0.093	0.105	0.11	0.118	0.105	0.091	0.111	1624831.0	1482952.883913
sub-season107	0.103	0.099	0.093	0.083	0.079	0.067	0.096	0.088	0.09	0.11	0.126	0.1	0.087	0.11	1762574.0	1540944.436115
sub-season108	0.094	0.084	0.095	0.084	0.082	0.074	0.092	0.091	0.098	0.105	0.117	0.099	0.07	0.119	1608348.0	1453691.045969
sub-season109	0.092	0.082	0.093	0.079	0.065	0.074	0.085	0.082	0.094	0.097	0.11	0.09	0.085	0.068	2116975.0	1949204.264928
sub-season110	0.103	0.085	0.102	0.093	0.075	0.079	0.094	0.09	0.105	0.098	0.121	0.104	0.083	0.129	1728574.0	1545647.495434
sub-season111	0.101	0.09	0.108	0.084	0.066	0.073	0.086	0.094	0.098	0.098	0.117	0.098	0.089	0.115	1887219.0	1820797.057342
sub-season112	0.091	0.09	0.102	0.084	0.074	0.072	0.092	0.091	0.105	0.105	0.115	0.103	0.091	0.107	1986596.0	1855650.512396
sub-season114	0.106	0.088	0.094	0.085	0.076	0.064	0.093	0.096	0.103	0.098	0.123	0.088	0.088	0.116	1589934.0	1453974.037606
sub-season116	0.118	0.092	0.109	0.085	0.077	0.073	0.091	0.096	0.099	0.104	0.119	0.103	0.086	0.098	1864222.0	1656987.75507
sub-season117	0.123	0.081	0.102	0.081	0.071	0.069	0.088	0.098	0.108	0.103	0.119	0.097	0.089	0.107	2004035.0	1887383.587011
sub-season119	0.09	0.085	0.099	0.085	0.068	0.067	0.09	0.103	0.094	0.098	0.119	0.093	0.083	0.094	1696676.0	1569429.750095
sub-season120	0.1	0.086	0.091	0.085	0.066	0.068	0.084	0.084	0.094	0.117	0.117	0.092	0.096	0.08	1847717.0	1664683.598266
sub-season121	0.122	0.089	0.099	0.09	0.078	0.071	0.091	0.086	0.104	0.1	0.121	0.103	0.086	0.111	2008369.0	1897894.403667
sub-season122	0.106	0.083	0.101	0.081	0.072	0.067	0.082	0.088	0.1	0.097	0.119	0.099	0.076	0.077	1880815.0	1805189.790401
sub-season123	0.103	0.094	0.088	0.091	0.073	0.072	0.089	0.096	0.098	0.108	0.114	0.096	0.1	0.071	2039640.0	1849012.463256
sub-season124	0.104	0.092	0.108	0.09	0.069	0.076	0.092	0.092	0.099	0.095	0.119	0.101	0.089	0.124	1783291.0	1690958.095541
sub-season125	0.111	0.087	0.098	0.082	0.071	0.061	0.09	0.093	0.101	0.101	0.112	0.104	0.081	0.071	1824819.0	1602272.803847
sub-season126	0.1	0.093	0.107	0.086	0.076	0.069	0.099	0.091	0.106	0.101	0.113	0.108	0.098	0.113	1753096.0	1661498.478944
sub-season127	0.097	0.092	0.106	0.083	0.069	0.076	0.088	0.098	0.096	0.103	0.111	0.1	0.103	0.102	1909443.0	1783880.913517
sub-season128	0.098	0.091	0.094	0.077	0.07	0.074	0.093	0.1	0.108	0.095	0.115	0.106	0.091	0.11	1696295.0	1630717.95911
sub-season129	0.092	0.094	0.092	0.091	0.07	0.07	0.088	0.094	0.104	0.107	0.118	0.095	0.093	0.111	1647904.0	1503300.398544
sub-season130	0.105	0.086	0.092	0.09	0.072	0.062	0.092	0.091	0.1	0.104	0.109	0.098	0.099	0.082	1757452.0	1536729.309148
sub-season131	0.09	0.093	0.091	0.08	0.069	0.062	0.09	0.099	0.108	0.103	0.116	0.094	0.088	0.125	1921984.0	1770893.529474
sub-season132	0.096	0.085	0.09	0.087	0.078	0.071	0.089	0.093	0.098	0.103	0.115	0.101	0.085	0.08	1452157.0	1439867.91904
sub-season133	0.108	0.09	0.095	0.096	0.064	0.076	0.089	0.084	0.1	0.091	0.107	0.102	0.084	0.104	1700360.0	1525489.052102
sub-season134	0.114	0.093	0.093	0.087	0.074	0.07	0.092	0.088	0.099	0.103	0.115	0.107	0.084	0.11	1911721.0	1823397.722049
sub-season135	0.094	0.081	0.094	0.077	0.072	0.066	0.089	0.09	0.099	0.097	0.115	0.098	0.081	0.103	1745319.0	1610476.458085
sub-season136	0.093	0.086	0.111	0.092	0.079	0.075	0.091	0.084	0.095	0.107	0.115	0.107	0.076	0.114	1513888.0	1035253.679693
sub-season137	0.095	0.073	0.107	0.074	0.081	0.072	0.092	0.084	0.099	0.107	0.113	0.095	0.081	0.105	1685920.0	1477723.11448
sub-season138	0.099	0.088	0.096	0.075	0.076	0.058	0.091	0.09	0.103	0.104	0.114	0.103	0.08	0.087	1628419.0	1579182.412506
sub-season139	0.116	0.085	0.092	0.079	0.077	0.067	0.089	0.092	0.099	0.096	0.114	0.099	0.093	0.084	1786268.0	1746086.487966
sub-season202	0.102	0.093	0.104	0.092	0.071	0.068	0.092	0.095	0.094	0.095	0.114	0.096	0.104	0.094	2095322.0	1918579.22066
sub-season204	0.105	0.1	0.12	0.083	0.078	0.083	0.091	0.094	0.109	0.102	0.126	0.11	0.088	0.077	1719575.0	1568138.208178
sub-season206	0.119	0.087	0.101	0.092	0.08	0.073	0.093	0.103	0.104	0.105	0.122	0.105	0.068	0.091	1487934.0	1382261.885581
sub-season207	0.1	0.089	0.103	0.082	0.069	0.067	0.088	0.091	0.102	0.103	0.11	0.096	0.1	0.111	1919834.0	1640301.685756
sub-season208	0.104	0.084	0.087	0.08	0.081	0.067	0.096	0.089	0.105	0.104	0.117	0.1	0.091	0.116	1633149.0	1505901.552608
sub-season211	0.122	0.093	0.119	0.082	0.089	0.085	0.097	0.106	0.114	0.105	0.118	0.114	0.096	0.119	1540490.0	1299692.665252
sub-season212	0.104	0.086	0.099	0.085	0.075	0.065	0.094	0.097	0.099	0.107	0.112	0.1	0.093	0.093	1575179.0	1434554.310664
sub-season213	0.092	0.083	0.089	0.079	0.068	0.061	0.085	0.092	0.092	0.097	0.114	0.106	0.097	0.075	2024520.0	1826968.556586
sub-season214	0.102	0.087	0.105	0.086	0.085	0.087	0.083	0.092	0.1	0.093	0.119	0.098	0.067	0.081	1769868.0	1559496.726243
sub-season215	0.097	0.091	0.092	0.083	0.073	0.059	0.091	0.089	0.091	0.107	0.115	0.109	0.094	0.1	1993619.0	1891248.65278
sub-season216	0.097	0.078	0.087	0.075	0.064	0.049	0.085	0.075	0.095	0.092	0.109	0.099	0.083	0.092	1682732.0	1571693.261147
