rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season127	810.0	2118.0	2115.0	340.0	2965.0	5668.0	3785.0	846.0	5477.0	2952.0	3585.0	1652.0	4790.0	682.0	1629.0	1629.0	828.0	1576.0	1729.0	4741.0	1329.0	4802.0	3881.0	797.0	4684.0	9871.0	4303.0	5098.0	3076.0	360.0	2206.0	90323.3	1909443.0	1783880.913517
sub-season128	562.0	1865.0	2214.0	405.0	2697.0	5137.0	3818.0	874.0	5242.0	3038.0	3340.0	1577.0	4273.0	567.0	1575.0	1591.0	671.0	1553.0	1712.0	4904.0	853.0	4630.0	4352.0	819.0	3683.0	9388.0	3933.0	4699.0	3261.0	417.0	2016.0	85665.2	1696295.0	1630717.95911
sub-season129	696.0	1778.0	1755.0	335.0	2733.0	5485.0	3326.0	784.0	4323.0	2778.0	2750.0	1223.0	4085.0	618.0	1623.0	1800.0	709.0	1260.0	1515.0	4197.0	1253.0	4185.0	3323.0	616.0	3849.0	9115.0	3762.0	4755.0	3081.0	326.0	1951.0	79988.2	1647904.0	1503300.398544
sub-season130	941.0	1850.0	1844.0	440.0	3094.0	5762.0	3545.0	947.0	5767.0	3030.0	2808.0	1319.0	4404.0	763.0	1533.0	1536.0	803.0	1549.0	1503.0	3676.0	1376.0	4599.0	4068.0	807.0	4003.0	8632.0	3865.0	4851.0	2758.0	295.0	2295.0	84664.6	1757452.0	1536729.309148
sub-season131	715.0	2334.0	1833.0	549.0	2734.0	6372.0	3526.0	918.0	5345.0	3563.0	3632.0	1593.0	4629.0	770.0	1799.0	1711.0	824.0	1811.0	1544.0	4619.0	1262.0	4946.0	3994.0	752.0	5293.0	9263.0	4467.0	4940.0	3401.0	398.0	1826.0	91365.1	1921984.0	1770893.529474
sub-season132	580.0	1759.0	1908.0	303.0	2233.0	4309.0	2480.0	634.0	4084.0	2195.0	2641.0	1157.0	3244.0	474.0	1193.0	1426.0	543.0	1311.0	1328.0	3566.0	1013.0	3674.0	3851.0	518.0	3328.0	7456.0	3476.0	4203.0	3046.0	315.0	1705.0	69953.8	1452157.0	1439867.91904
sub-season133	791.0	1998.0	1815.0	397.0	2564.0	4892.0	2954.0	783.0	4103.0	2982.0	2869.0	1510.0	3734.0	600.0	1576.0	1419.0	689.0	1589.0	1552.0	3989.0	1334.0	4228.0	3867.0	834.0	3949.0	9424.0	4194.0	4624.0	3005.0	371.0	1939.0	80573.5	1700360.0	1525489.052102
sub-season134	873.0	3083.0	1861.0	654.0	3052.0	5899.0	4244.0	1109.0	5238.0	3312.0	3352.0	1398.0	4845.0	730.0	1670.0	2114.0	787.0	1729.0	1558.0	5057.0	1265.0	5448.0	4195.0	1078.0	4335.0	9144.0	4846.0	5655.0	4067.0	457.0	2140.0	95194.8	1911721.0	1823397.722049
sub-season135	549.0	1841.0	1953.0	357.0	2664.0	4443.0	3970.0	796.0	4389.0	3063.0	2647.0	1419.0	3516.0	634.0	1437.0	1779.0	694.0	1438.0	1237.0	3903.0	848.0	3855.0	4568.0	444.0	3170.0	8467.0	4623.0	4270.0	3415.0	376.0	2052.0	78820.1	1745319.0	1610476.458085
sub-season136	612.0	1885.0	1767.0	309.0	2555.0	5176.0	3239.0	685.0	5320.0	2353.0	2620.0	1018.0	3717.0	675.0	1255.0	1981.0	719.0	1567.0	988.0	3473.0	847.0	3826.0	3585.0	591.0	3498.0	6971.0	4045.0	4157.0	3031.0	319.0	1803.0	74583.8	1513888.0	1035253.679693
sub-season137	577.0	1869.0	2229.0	325.0	2433.0	4199.0	3243.0	762.0	4843.0	2487.0	3256.0	1444.0	3663.0	577.0	1630.0	1465.0	776.0	1350.0	1743.0	3694.0	983.0	3983.0	3980.0	986.0	3425.0	8748.0	3987.0	4440.0	3153.0	347.0	2127.0	78725.6	1685920.0	1477723.11448
sub-season138	443.0	2155.0	1554.0	287.0	2247.0	4377.0	3094.0	760.0	4863.0	2561.0	2932.0	1089.0	3924.0	603.0	1293.0	1592.0	641.0	1700.0	1148.0	4017.0	952.0	4056.0	3775.0	322.0	3501.0	8651.0	3505.0	4653.0	3211.0	331.0	1799.0	76034.9	1628419.0	1579182.412506
sub-season139	817.0	2216.0	1604.0	518.0	2622.0	5970.0	3482.0	849.0	5336.0	2921.0	2951.0	1397.0	4458.0	655.0	1379.0	1545.0	845.0	1857.0	1303.0	4327.0	1412.0	4294.0	3847.0	1001.0	4377.0	9993.0	5102.0	4723.0	3566.0	395.0	2209.0	87971.2	1786268.0	1746086.487966
sub-season202	809.0	3033.0	1963.0	842.0	3352.0	6192.0	4078.0	918.0	5299.0	3684.0	3235.0	1978.0	4681.0	669.0	1999.0	1620.0	861.0	1615.0	1555.0	5445.0	1377.0	5850.0	5532.0	792.0	4666.0	11512.0	5383.0	6385.0	4364.0	508.0	2414.0	102612.0	2095322.0	1918579.22066
sub-season204	723.0	2365.0	2106.0	344.0	3051.0	4831.0	3132.0	960.0	5520.0	3188.0	3105.0	1688.0	4391.0	646.0	1885.0	1925.0	856.0	1709.0	1520.0	4013.0	1334.0	4252.0	4768.0	749.0	4426.0	9397.0	4474.0	4984.0	3416.0	437.0	2169.0	88368.3	1719575.0	1568138.208178
sub-season206	579.0	1408.0	1466.0	394.0	2658.0	4555.0	3120.0	792.0	4516.0	2110.0	2372.0	1158.0	3971.0	600.0	1292.0	1438.0	577.0	1494.0	1029.0	3873.0	913.0	4405.0	3275.0	558.0	2697.0	7863.0	3928.0	4229.0	3925.0	271.0	2053.0	73520.0	1487934.0	1382261.885581
sub-season207	805.0	1763.0	1773.0	420.0	2809.0	5450.0	3698.0	760.0	5003.0	3239.0	2843.0	1493.0	4623.0	556.0	2094.0	1626.0	855.0	1680.0	1201.0	4957.0	1282.0	4118.0	4326.0	741.0	5149.0	9780.0	4930.0	5718.0	3918.0	442.0	2170.0	90223.8	1919834.0	1640301.685756
sub-season208	524.0	1969.0	1738.0	370.0	2314.0	4744.0	3138.0	736.0	4208.0	2828.0	2759.0	1213.0	3698.0	499.0	1570.0	1489.0	832.0	1749.0	1501.0	4015.0	1167.0	4140.0	3557.0	418.0	3863.0	9087.0	4018.0	4507.0	3046.0	343.0	1825.0	77863.7	1633149.0	1505901.552608
sub-season211	668.0	1972.0	1981.0	380.0	2658.0	4089.0	2830.0	715.0	5103.0	2615.0	2779.0	1434.0	3303.0	597.0	1792.0	1440.0	656.0	1743.0	1486.0	3730.0	1054.0	4222.0	3833.0	714.0	3528.0	8223.0	4484.0	4297.0	2908.0	372.0	1803.0	77408.2	1540490.0	1299692.665252
sub-season212	562.0	1915.0	1691.0	344.0	2245.0	5362.0	3253.0	862.0	4183.0	2812.0	2272.0	1367.0	3923.0	585.0	1358.0	1458.0	748.0	1410.0	1258.0	3892.0	1115.0	4317.0	3769.0	560.0	3895.0	9056.0	4056.0	4382.0	2769.0	278.0	1816.0	77514.8	1575179.0	1434554.310664
sub-season213	1075.0	3170.0	2533.0	415.0	3066.0	5808.0	4195.0	1200.0	6835.0	2895.0	3651.0	1314.0	4955.0	655.0	1743.0	2161.0	775.0	1557.0	1878.0	4728.0	1537.0	5409.0	5055.0	860.0	4376.0	10108.0	5178.0	5073.0	4214.0	418.0	2221.0	99058.2	2024520.0	1826968.556586
sub-season214	809.0	1985.0	1728.0	289.0	2470.0	4652.0	3559.0	737.0	4514.0	3001.0	2723.0	1412.0	4049.0	638.0	1645.0	1475.0	624.0	1329.0	1156.0	4113.0	1181.0	3950.0	3947.0	692.0	4129.0	10207.0	4743.0	5028.0	3505.0	374.0	2028.0	82692.6	1769868.0	1559496.726243
sub-season215	1053.0	2654.0	2116.0	536.0	3025.0	6125.0	4238.0	896.0	6284.0	3333.0	3012.0	1664.0	5672.0	724.0	1656.0	1523.0	1062.0	1887.0	1459.0	4878.0	1594.0	4803.0	4893.0	696.0	5322.0	9872.0	4629.0	5618.0	3827.0	335.0	2176.0	97560.8	1993619.0	1891248.65278
sub-season216	573.0	1818.0	1733.0	321.0	2300.0	4557.0	2579.0	740.0	4172.0	2362.0	2746.0	1385.0	3550.0	702.0	1389.0	1281.0	676.0	1262.0	1169.0	3430.0	944.0	3870.0	3232.0	497.0	3386.0	8424.0	3899.0	4072.0	2347.0	280.0	1759.0	71456.3	1682732.0	1571693.261147
sub-season217	809.0	2115.0	1597.0	299.0	2278.0	4053.0	2917.0	775.0	4440.0	2391.0	2515.0	1328.0	3602.0	555.0	1328.0	1586.0	568.0	1335.0	1388.0	3864.0	1180.0	4018.0	3497.0	728.0	3572.0	8299.0	3648.0	4479.0	3107.0	313.0	1892.0	74480.0	1587034.0	1510038.192549
