rh.aparc.DKTatlas.volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-season138	1458.0	7138.0	3687.0	1786.0	7731.0	13402.0	12446.0	2231.0	12975.0	10161.0	7724.0	3828.0	15074.0	2313.0	4021.0	5302.0	2430.0	5468.0	1767.0	10073.0	3139.0	13590.0	11502.0	1010.0	11174.0	31332.0	9814.0	18176.0	10674.0	1101.0	6522.0	1628419.0	1579182.412506
sub-season139	2430.0	6361.0	3275.0	2400.0	8284.0	17191.0	12038.0	2306.0	12198.0	8741.0	7403.0	3897.0	15116.0	2352.0	3836.0	4776.0	2851.0	4917.0	2173.0	10064.0	4083.0	13173.0	10329.0	3120.0	11872.0	31245.0	12391.0	17130.0	10009.0	1434.0	7429.0	1786268.0	1746086.487966
sub-season202	2890.0	9543.0	4262.0	4194.0	10656.0	19405.0	15168.0	2685.0	13499.0	13113.0	8274.0	6505.0	16741.0	2194.0	5878.0	5332.0	3349.0	4850.0	2444.0	15060.0	4370.0	18863.0	14964.0	3042.0	14372.0	38821.0	13737.0	22682.0	13660.0	1381.0	8889.0	2095322.0	1918579.22066
sub-season204	2495.0	7391.0	4807.0	1713.0	9141.0	14888.0	11160.0	2810.0	13239.0	9720.0	7288.0	4883.0	14790.0	2076.0	5429.0	6034.0	3185.0	4597.0	2199.0	9709.0	3934.0	12725.0	12588.0	2729.0	12828.0	30162.0	11590.0	17655.0	10222.0	1445.0	7498.0	1719575.0	1568138.208178
sub-season206	2181.0	4506.0	3350.0	2010.0	8856.0	14623.0	11348.0	2421.0	12363.0	7631.0	5568.0	3671.0	15203.0	2317.0	3825.0	4769.0	2243.0	4850.0	1496.0	9607.0	2958.0	13577.0	9374.0	2171.0	8376.0	27618.0	10435.0	15085.0	12723.0	777.0	7014.0	1487934.0	1382261.885581
sub-season207	2740.0	5996.0	3794.0	1766.0	9451.0	16875.0	13655.0	1993.0	13688.0	10092.0	6835.0	4563.0	16706.0	1798.0	6448.0	5316.0	3265.0	5020.0	1955.0	12538.0	4055.0	13202.0	12052.0	2755.0	15628.0	33509.0	13182.0	20418.0	12548.0	1327.0	7536.0	1919834.0	1640301.685756
sub-season208	1580.0	6042.0	4264.0	2160.0	8420.0	15313.0	12082.0	2175.0	11946.0	10260.0	7547.0	4151.0	14328.0	1714.0	4781.0	5115.0	3615.0	5354.0	2441.0	9886.0	4087.0	13231.0	10016.0	1455.0	12160.0	32619.0	11056.0	18512.0	10118.0	1212.0	6814.0	1633149.0	1505901.552608
sub-season211	2334.0	6395.0	5138.0	1676.0	8860.0	12135.0	9683.0	2044.0	14059.0	7743.0	6919.0	4589.0	11564.0	2174.0	5438.0	4596.0	2311.0	5138.0	2320.0	9863.0	3452.0	13108.0	10566.0	2588.0	10756.0	27015.0	12411.0	15372.0	8678.0	1399.0	6279.0	1540490.0	1299692.665252
sub-season212	1798.0	5699.0	3345.0	1800.0	7461.0	15814.0	11573.0	2603.0	11141.0	9222.0	5934.0	4380.0	12859.0	1868.0	4065.0	4802.0	2990.0	3673.0	1958.0	10110.0	3129.0	13016.0	9926.0	2035.0	11264.0	29794.0	10451.0	15806.0	8793.0	912.0	6126.0	1575179.0	1434554.310664
sub-season213	3126.0	9809.0	6449.0	2230.0	10489.0	17821.0	15217.0	3458.0	20693.0	9702.0	10375.0	4202.0	18935.0	2283.0	5071.0	6604.0	2496.0	4835.0	3573.0	12170.0	4593.0	16267.0	14818.0	2987.0	13812.0	33626.0	13222.0	19055.0	12995.0	1429.0	7775.0	2024520.0	1826968.556586
sub-season214	2765.0	6996.0	4435.0	1620.0	8537.0	14377.0	14180.0	1940.0	12597.0	9409.0	7436.0	3994.0	15998.0	2011.0	5225.0	5098.0	2734.0	4223.0	2045.0	11222.0	3902.0	14281.0	11377.0	2324.0	13158.0	37203.0	14092.0	19313.0	12019.0	1536.0	7346.0	1769868.0	1559496.726243
sub-season215	3653.0	8148.0	4866.0	2381.0	10590.0	19289.0	15767.0	2483.0	18481.0	11530.0	7097.0	5882.0	21059.0	2404.0	5027.0	4878.0	3760.0	5156.0	2485.0	12123.0	5015.0	14408.0	12474.0	2733.0	15739.0	33324.0	12513.0	19421.0	11260.0	1040.0	7831.0	1993619.0	1891248.65278
sub-season216	1743.0	6110.0	4353.0	1876.0	7500.0	14519.0	9382.0	2193.0	11918.0	8070.0	7030.0	4238.0	14176.0	2294.0	4252.0	4314.0	2542.0	3840.0	2182.0	9156.0	3034.0	13121.0	9853.0	1783.0	10746.0	29165.0	11512.0	15769.0	8438.0	943.0	6263.0	1682732.0	1571693.261147
sub-season217	3006.0	6345.0	3586.0	1589.0	8287.0	12559.0	10900.0	2235.0	11253.0	8056.0	6180.0	4240.0	13118.0	1874.0	4035.0	5107.0	1998.0	3960.0	2857.0	10174.0	3709.0	12763.0	9787.0	2596.0	10560.0	26776.0	10089.0	17219.0	9828.0	945.0	6838.0	1587034.0	1510038.192549
